air,level,ext_field,hash,r,n_trace,blowup,prove_ms,verify_ms,proof_kib,peak_rss_mib,run_idx,ldt
RegisterMachine-2^18,L1,Fp6,SHA3-384,54,262144,32,43364,2.03,295.4,,2,stir
RegisterMachine-2^19,L1,Fp6,SHA3-384,54,524288,32,87925,2.09,298.1,,2,stir
RegisterMachine-2^20,L1,Fp6,SHA3-384,54,1048576,32,179348,2.14,300.8,,2,stir
RegisterMachine-2^21,L1,Fp6,SHA3-384,54,2097152,32,367195,2.32,341.4,,2,stir
RegisterMachine-2^22,L1,Fp6,SHA3-384,54,4194304,32,747444,2.36,344.1,,2,stir
Fibonacci-2^11,L1,Fp6,SHA3-384,54,2048,32,267,1.47,200.8,,3,stir
Fibonacci-2^12,L1,Fp6,SHA3-384,54,4096,32,517,1.50,203.4,,3,stir
Fibonacci-2^13,L1,Fp6,SHA3-384,54,8192,32,1011,1.69,244.1,,3,stir
Fibonacci-2^14,L1,Fp6,SHA3-384,54,16384,32,2025,1.72,246.8,,3,stir
Fibonacci-2^15,L1,Fp6,SHA3-384,54,32768,32,4074,1.78,249.4,,3,stir
Fibonacci-2^16,L1,Fp6,SHA3-384,54,65536,32,8199,1.81,252.1,,3,stir
Fibonacci-2^17,L1,Fp6,SHA3-384,54,131072,32,16640,2.01,292.7,,3,stir
Fibonacci-2^18,L1,Fp6,SHA3-384,54,262144,32,33678,2.04,295.4,,3,stir
Fibonacci-2^19,L1,Fp6,SHA3-384,54,524288,32,67896,2.09,298.1,,3,stir
Fibonacci-2^20,L1,Fp6,SHA3-384,54,1048576,32,135724,2.12,300.8,,3,stir
Fibonacci-2^21,L1,Fp6,SHA3-384,54,2097152,32,273665,2.32,341.4,,3,stir
Fibonacci-2^22,L1,Fp6,SHA3-384,54,4194304,32,551223,2.33,344.1,,3,stir
PoseidonChain-2^11,L1,Fp6,SHA3-384,54,2048,32,636,1.46,200.8,,3,stir
PoseidonChain-2^12,L1,Fp6,SHA3-384,54,4096,32,1254,1.50,203.4,,3,stir
PoseidonChain-2^13,L1,Fp6,SHA3-384,54,8192,32,2517,1.69,244.1,,3,stir
PoseidonChain-2^14,L1,Fp6,SHA3-384,54,16384,32,5078,1.72,246.8,,3,stir
PoseidonChain-2^15,L1,Fp6,SHA3-384,54,32768,32,10285,1.79,249.4,,3,stir
PoseidonChain-2^16,L1,Fp6,SHA3-384,54,65536,32,21018,1.81,252.1,,3,stir
PoseidonChain-2^17,L1,Fp6,SHA3-384,54,131072,32,42700,2.00,292.7,,3,stir
PoseidonChain-2^18,L1,Fp6,SHA3-384,54,262144,32,86390,2.03,295.4,,3,stir
